Source.Name,Date,Season,Location,Max wind (MPH),Max wind (town),Town,Average wind (mph),Wind direction,Air temperature (C),Air temperature (C) (town),Wind chill temperature (C),Snow depth (CM),Snow depth in drifts (CM),Snow level (m),Cloud base (m),Cloud base comment,Oberservor,Report
CLEAN 1997-1998.xlsx,14/01/1998,1997 - 1998,Helvellyn summit,39,,Glenridding,31,NW,-1,6.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,15/01/1998,1997 - 1998,Helvellyn summit,44,,Glenridding,32,W,0.3,6.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,16/01/1998,1997 - 1998,Helvellyn summit,26,,Glenridding,14,NE,-0.4,6.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,17/01/1998,1997 - 1998,Helvellyn summit,43,,Glenridding,31,W,0.9,7.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,18/01/1998,1997 - 1998,Helvellyn summit,6,,Glenridding,4,W,0.6,7.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,19/01/1998,1997 - 1998,Helvellyn summit,54,,Glenridding,42,N,-5.6,1.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,20/01/1998,1997 - 1998,Helvellyn summit,10,,Glenridding,6,NE,-3.7,1.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,21/01/1998,1997 - 1998,Helvellyn summit,43,,Glenridding,40,SW,-0.8,4.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,22/01/1998,1997 - 1998,Helvellyn summit,23,,Glenridding,20,W,2.9,9.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,23/01/1998,1997 - 1998,Helvellyn summit,27,,Glenridding,20,NE,3.6,11.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,24/01/1998,1997 - 1998,Helvellyn summit,45,,Glenridding,35,NE,-1.8,6.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,25/01/1998,1997 - 1998,Helvellyn summit,11,,Glenridding,8,NE,-1.8,4.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,26/01/1998,1997 - 1998,Helvellyn summit,9,,Glenridding,6,W,-3.2,3.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,27/01/1998,1997 - 1998,Helvellyn summit,8,,Glenridding,6,W,-3.3,4.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,28/01/1998,1997 - 1998,Helvellyn summit,7,,Glenridding,4,W,-2.6,5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,29/01/1998,1997 - 1998,Helvellyn summit,12,,Glenridding,6,NW,1.3,1.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,30/01/1998,1997 - 1998,Helvellyn summit,13,,Glenridding,7,NW,-1.9,4.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,31/01/1998,1997 - 1998,Helvellyn summit,15,,Glenridding,8,W,-1.6,5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,01/02/1998,1997 - 1998,Helvellyn summit,14,,Glenridding,11,NE,-0.9,5.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,02/02/1998,1997 - 1998,Helvellyn summit,36,,Glenridding,10,W,-3,5.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,03/02/1998,1997 - 1998,Helvellyn summit,37,,Glenridding,27,W,-1.2,4.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,04/02/1998,1997 - 1998,Helvellyn summit,36,,Glenridding,30,W,-0.2,6.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,05/02/1998,1997 - 1998,Helvellyn summit,35,,Glenridding,22,SW,1.2,8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,06/02/1998,1997 - 1998,Helvellyn summit,43,,Glenridding,36,SW,0.7,7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,07/02/1998,1997 - 1998,Helvellyn summit,36,,Glenridding,34,SW,-1.6,6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,08/02/1998,1997 - 1998,Helvellyn summit,51,,Glenridding,42,SW,3.3,8.5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,09/02/1998,1997 - 1998,Helvellyn summit,57,,Glenridding,45,SW,4,9.5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,10/02/1998,1997 - 1998,Helvellyn summit,29,,Glenridding,19,SW,3.4,8.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,11/02/1998,1997 - 1998,Helvellyn summit,54,,Glenridding,39,W,6,12.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,12/02/1998,1997 - 1998,Helvellyn summit,37,,Glenridding,31,SW,6.5,12.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,13/02/1998,1997 - 1998,Helvellyn summit,29,,Glenridding,24,SW,6.7,13,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,14/02/1998,1997 - 1998,,,,Glenridding,,,,12.8,,,,,,Not recorded,,* No Records
CLEAN 1997-1998.xlsx,15/02/1998,1997 - 1998,,,,Glenridding,,,,13.1,,,,,,Not recorded,,* No Records
CLEAN 1997-1998.xlsx,16/02/1998,1997 - 1998,Helvellyn summit,28,,Glenridding,10,NW,3.3,9.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,17/02/1998,1997 - 1998,Helvellyn summit,28,,Glenridding,22,NW,5.1,11.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,18/02/1998,1997 - 1998,Helvellyn summit,21,,Glenridding,20,SW,3.3,9.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,19/02/1998,1997 - 1998,Helvellyn summit,23,,Glenridding,18,SW,4.2,10.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,20/02/1998,1997 - 1998,Helvellyn summit,53,,Glenridding,48,W,3.9,10.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,21/02/1998,1997 - 1998,Helvellyn summit,26,,Glenridding,22,SW,-0.2,7.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,22/02/1998,1997 - 1998,Helvellyn summit,26,,Glenridding,22,SW,-0.2,7.5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,23/02/1998,1997 - 1998,Helvellyn summit,44,,Glenridding,32,W,4,10.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,24/02/1998,1997 - 1998,Helvellyn summit,34,,Glenridding,28,W,3.8,10.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,25/02/1998,1997 - 1998,Helvellyn summit,34,,Glenridding,29,W,3.5,9.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,26/02/1998,1997 - 1998,Helvellyn summit,29,,Glenridding,23,W,0.6,6.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,27/02/1998,1997 - 1998,Helvellyn summit,78,,Glenridding,69,WNW,0.9,7.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,28/02/1998,1997 - 1998,,,,,,,,,,,,,,Not recorded,,*No Records
CLEAN 1997-1998.xlsx,01/03/1998,1997 - 1998,Helvellyn summit,28,,Glenridding,19,NW,-1.3,6.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,02/03/1998,1997 - 1998,Helvellyn summit,26,,Glenridding,22,W,0.3,7.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,03/03/1998,1997 - 1998,Helvellyn summit,18,,Glenridding,16,NW,2.7,9.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,04/03/1998,1997 - 1998,Helvellyn summit,45,,Glenridding,38,W,-2.5,4.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,05/03/1998,1997 - 1998,Helvellyn summit,41,,Glenridding,36,W,-2,4.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,06/03/1998,1997 - 1998,Helvellyn summit,16,,Glenridding,12,SW,-1.5,3.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,07/03/1998,1997 - 1998,Helvellyn summit,38,,Glenridding,34,W,1.9,9.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,08/03/1998,1997 - 1998,Helvellyn summit,24,,Glenridding,18,NE,-2.3,5.5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,09/03/1998,1997 - 1998,Helvellyn summit,15,,Glenridding,13,W,-1.5,4.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,10/03/1998,1997 - 1998,Helvellyn summit,48,,Glenridding,43,SW,0,6.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,11/03/1998,1997 - 1998,Helvellyn summit,24,,Glenridding,19,N,0,6.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,12/03/1998,1997 - 1998,Helvellyn summit,37,,Glenridding,20,W,-1.1,8.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,13/03/1998,1997 - 1998,Helvellyn summit,11,,Glenridding,6,NW,2,8.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,14/03/1998,1997 - 1998,Helvellyn summit,11,,Glenridding,2,NW,7,8.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,15/03/1998,1997 - 1998,Helvellyn summit,33,,Glenridding,18,NW,3.5,8.5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,16/03/1998,1997 - 1998,Helvellyn summit,28,,Glenridding,27,W,2,10.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,17/03/1998,1997 - 1998,Helvellyn summit,34,,Glenridding,30,W,3.3,11.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,18/03/1998,1997 - 1998,Helvellyn summit,18,,Glenridding,15,W,0.8,8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,19/03/1998,1997 - 1998,Helvellyn summit,25,,Glenridding,24,NW,2,9.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,20/03/1998,1997 - 1998,Helvellyn summit,12,,Glenridding,5,NE,3.8,10.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,21/03/1998,1997 - 1998,Helvellyn summit,1,,Glenridding,0,NE,6.3,10.5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,22/03/1998,1997 - 1998,Skiddaw summit,15,,Glenridding,12,W,9.3,13.4,,,,,,Not recorded,,*Readings taken on Skiddaw
CLEAN 1997-1998.xlsx,23/03/1998,1997 - 1998,Helvellyn summit,14,,Glenridding,11,W,1.6,8.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,24/03/1998,1997 - 1998,Helvellyn summit,16,,Glenridding,15,W,2.1,9.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,25/03/1998,1997 - 1998,Helvellyn summit,29,,Glenridding,23,SW,4.9,10.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,26/03/1998,1997 - 1998,Helvellyn summit,46,,Glenridding,41,W,5.1,11.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,27/03/1998,1997 - 1998,Helvellyn summit,46,,Glenridding,40,W,5.1,12.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,28/03/1998,1997 - 1998,Helvellyn summit,41,,Glenridding,32,SW,9.2,14.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,29/03/1998,1997 - 1998,Helvellyn summit,18,,Glenridding,11,W,9.1,14.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,30/03/1998,1997 - 1998,Helvellyn summit,30,,Glenridding,25,W,5.7,10.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,31/03/1998,1997 - 1998,Helvellyn summit,1,,Glenridding,0,SW,6.2,9.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,01/04/1998,1997 - 1998,Helvellyn summit,22,,Glenridding,13,SE,2.2,7.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,02/04/1998,1997 - 1998,Helvellyn summit,11,,Glenridding,4,SW,1.9,6.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,03/04/1998,1997 - 1998,Helvellyn summit,19,,Glenridding,16,SW,1,9.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,04/04/1998,1997 - 1998,Helvellyn summit,17,,Glenridding,16,NE,3.5,8.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,05/04/1998,1997 - 1998,Helvellyn summit,17,,Glenridding,15,SW,3.2,10.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,06/04/1998,1997 - 1998,Helvellyn summit,18,,Glenridding,11,W,2.3,7.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,07/04/1998,1997 - 1998,Helvellyn summit,31,,Glenridding,22,NE,1.9,10.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,08/04/1998,1997 - 1998,Helvellyn summit,,,Glenridding,,,1.7,9.8,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,09/04/1998,1997 - 1998,Helvellyn summit,42,,,35,NE,1.2,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,10/04/1998,1997 - 1998,Helvellyn summit,52,,Glenridding,45,NE,-2.3,5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,11/04/1998,1997 - 1998,Helvellyn summit,36,,Glenridding,19,NE,,,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,12/04/1998,1997 - 1998,Helvellyn summit,22,,Glenridding,12,NE,,,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,13/04/1998,1997 - 1998,Helvellyn summit,,,Glenridding,,,-2.9,,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,14/04/1998,1997 - 1998,,,,,,,,,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,15/04/1998,1997 - 1998,Helvellyn summit,17,,Glenridding,15,NE,,,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,16/04/1998,1997 - 1998,Helvellyn summit,10,,Glenridding,7,NW,,,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,17/04/1998,1997 - 1998,Helvellyn summit,40,,Glenridding,27,N,,,,,,,,Not recorded,,* Records Incomplete
CLEAN 1997-1998.xlsx,18/04/1998,1997 - 1998,,,,,,,,,,,,,,Not recorded,,* No Records
CLEAN 1998-1999.xlsx,23/11/1998,1998 - 1999,Helvellyn summit,26,,,22,SSW,0.2,3.3,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,24/11/1998,1998 - 1999,Helvellyn summit,25,,,20,W,1.4,6.8,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,25/11/1998,1998 - 1999,Helvellyn summit,27,,,21,SW,0.6,5.9,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,26/11/1998,1998 - 1999,Helvellyn summit,,,,,,,,,,,,,Not recorded,,*No readings taken
CLEAN 1998-1999.xlsx,27/11/1998,1998 - 1999,Helvellyn summit,19,,,13,WNW,4.9,10.1,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,28/11/1998,1998 - 1999,Helvellyn summit,25,,,16,NW,0.9,5.1,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,29/11/1998,1998 - 1999,Helvellyn summit,16,,,12,NW,0.4,5.3,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,30/11/1998,1998 - 1999,Helvellyn summit,10,,,7,NW,3.8,6.7,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,01/12/1998,1998 - 1999,Helvellyn summit,12,,,8,NNE,5.8,12.9,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,02/12/1998,1998 - 1999,Helvellyn summit,26,,,22,NE,2.6,6.7,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,03/12/1998,1998 - 1999,Helvellyn summit,14,,,11,W,2.5,7.8,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,04/12/1998,1998 - 1999,Helvellyn summit,23,,,21,N,-4.4,2.2,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,05/12/1998,1998 - 1999,Helvellyn summit,11,,,6,N,-6.1,0.7,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,06/12/1998,1998 - 1999,Helvellyn summit,11,,,6,W,-3.6,1,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,07/12/1998,1998 - 1999,Helvellyn summit,21,,,16,SW,1.1,6.4,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,08/12/1998,1998 - 1999,Helvellyn summit,29,,,19,SW,4.8,10,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,09/12/1998,1998 - 1999,Helvellyn summit,22,,,17,SW,2.1,9.3,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,10/12/1998,1998 - 1999,Helvellyn summit,33,,,26,SW,3.3,11,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,11/12/1998,1998 - 1999,Helvellyn summit,35,,,30,SW,1.9,9,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,12/12/1998,1998 - 1999,Helvellyn summit,33,,,28,SW,3.5,11.8,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,13/12/1998,1998 - 1999,Helvellyn summit,37,,,29,W,2.4,9.8,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,14/12/1998,1998 - 1999,Helvellyn summit,60,,,55,SW,8.2,12.3,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,15/12/1998,1998 - 1999,Helvellyn summit,16,,,14,SW,1.1,8.3,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,16/12/1998,1998 - 1999,Helvellyn summit,44,,,35,SW,2.9,9.1,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,17/12/1998,1998 - 1999,Helvellyn summit,50,,,45,SW,4.5,9.8,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,18/12/1998,1998 - 1999,Helvellyn summit,35,,,27,SW,-0.1,7.2,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,19/12/1998,1998 - 1999,Helvellyn summit,21,,,16,N,-1.9,5.2,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,20/12/1998,1998 - 1999,Helvellyn summit,26,,,16,N,-5.9,2.3,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,21/12/1998,1998 - 1999,Helvellyn summit,25,,,20,NW,-4.6,4.1,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,22/12/1998,1998 - 1999,Helvellyn summit,33,,,26,W,-0.8,5,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,23/12/1998,1998 - 1999,Helvellyn summit,29,,,23,W,-1.9,3.1,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,24/12/1998,1998 - 1999,Helvellyn summit,54,,,43,SW,0.3,5.8,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,25/12/1998,1998 - 1999,Helvellyn summit,39,,,28,W,1.9,6.1,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,26/12/1998,1998 - 1999,Swirral Edge,70,,,54,SW,1.1,5.7,,,,,,Not recorded,,*Readings taken on Swirrel Edge
CLEAN 1998-1999.xlsx,27/12/1998,1998 - 1999,Helvellyn summit,31,,,22,SW,-2,5.8,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,28/12/1998,1998 - 1999,Helvellyn summit,22,,,18,SW,-3.2,2.9,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,29/12/1998,1998 - 1999,Helvellyn summit,35,,,28,S,0.5,5.5,,,,,,Not recorded,,
CLEAN 1998-1999.xlsx,30/12/1998,1998 - 1999,Helvellyn summit,,,,,,,,,,,,,Not recorded,,* No readings taken involved in Rescue
CLEAN 1998-1999.xlsx,31/12/1998,1998 - 1999,Helvellyn summit,35,,,15,S,1.2,8.8,,,,,,Not recorded,,* Estimate Anometer not working
CLEAN 1998-1999.xlsx,01/01/1999,1998 - 1999,Helvellyn summit,42,,,35,SW,0.3,6.8,,,,,,Not recorded,,
