"Road using [note 1] vehicles registered for the first time by body type and fuel type [note 2], Great Britain from January 2001; also United Kingdom from July 2014",,,,,,,,,,,,,,,,,,
Table VEH1153a,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [low] = a low figure but not a real zero.",,,,,,,,,,,,,,,,,,
Geography [note 3],Date Interval [note 4],Date [note 4],Units,BodyType,Petrol,Diesel,Hybrid electric (petrol),Hybrid electric (diesel),Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Battery electric,Range extended electric,Fuel cell electric,Gas [note 5],Other fuel types [note 6],Total,Plug-in [note 7],Zero emission [note 8]
England,Quarterly,2003 Q3 (July to September),Thousands,Buses and coaches,[low],2.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.9,[low],[low]
England,Quarterly,2003 Q4 (October to December),Thousands,Buses and coaches,[low],2.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.6,[low],[low]
England,Quarterly,2004 Q1 (January to March),Thousands,Buses and coaches,[low],2.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.7,[low],[low]
England,Quarterly,2004 Q2 (April to June),Thousands,Buses and coaches,0.1,3.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],3.1,[low],[low]
England,Quarterly,2004 Q3 (July to September),Thousands,Buses and coaches,0.1,2.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.8,[low],[low]
England,Quarterly,2004 Q4 (October to December),Thousands,Buses and coaches,0.1,2.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.6,[low],[low]
England,Quarterly,2005 Q1 (January to March),Thousands,Buses and coaches,[low],2.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.5,[low],[low]
England,Quarterly,2005 Q2 (April to June),Thousands,Buses and coaches,[low],3.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],3.1,[low],[low]
England,Quarterly,2005 Q3 (July to September),Thousands,Buses and coaches,[low],2.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.7,[low],[low]
England,Quarterly,2005 Q4 (October to December),Thousands,Buses and coaches,[low],2.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.4,[low],[low]
England,Quarterly,2006 Q1 (January to March),Thousands,Buses and coaches,[low],3.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],3.0,[low],[low]
England,Quarterly,2006 Q2 (April to June),Thousands,Buses and coaches,[low],2.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.9,[low],[low]
England,Quarterly,2006 Q3 (July to September),Thousands,Buses and coaches,[low],2.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.3,[low],[low]
England,Quarterly,2006 Q4 (October to December),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2007 Q1 (January to March),Thousands,Buses and coaches,[low],2.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.2,[low],[low]
England,Quarterly,2007 Q2 (April to June),Thousands,Buses and coaches,[low],3.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],3.1,[low],[low]
England,Quarterly,2007 Q3 (July to September),Thousands,Buses and coaches,[low],2.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.7,[low],[low]
England,Quarterly,2007 Q4 (October to December),Thousands,Buses and coaches,[low],2.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.2,[low],[low]
England,Quarterly,2008 Q1 (January to March),Thousands,Buses and coaches,[low],2.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.6,[low],[low]
England,Quarterly,2008 Q2 (April to June),Thousands,Buses and coaches,[low],2.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.7,[low],[low]
England,Quarterly,2008 Q3 (July to September),Thousands,Buses and coaches,[low],2.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.7,[low],[low]
England,Quarterly,2008 Q4 (October to December),Thousands,Buses and coaches,[low],2.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.1,[low],[low]
England,Quarterly,2009 Q1 (January to March),Thousands,Buses and coaches,[low],2.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.3,[low],[low]
England,Quarterly,2009 Q2 (April to June),Thousands,Buses and coaches,[low],2.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.2,[low],[low]
England,Quarterly,2009 Q3 (July to September),Thousands,Buses and coaches,[low],2.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.1,[low],[low]
England,Quarterly,2009 Q4 (October to December),Thousands,Buses and coaches,[low],1.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.7,[low],[low]
England,Quarterly,2010 Q1 (January to March),Thousands,Buses and coaches,[low],2.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.2,[low],[low]
England,Quarterly,2010 Q2 (April to June),Thousands,Buses and coaches,[low],2.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.1,[low],[low]
England,Quarterly,2010 Q3 (July to September),Thousands,Buses and coaches,[low],2.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.0,[low],[low]
England,Quarterly,2010 Q4 (October to December),Thousands,Buses and coaches,[low],1.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.5,[low],[low]
England,Quarterly,2011 Q1 (January to March),Thousands,Buses and coaches,[low],1.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.8,[low],[low]
England,Quarterly,2011 Q2 (April to June),Thousands,Buses and coaches,[low],2.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.0,[low],[low]
England,Quarterly,2011 Q3 (July to September),Thousands,Buses and coaches,[low],1.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.7,[low],[low]
England,Quarterly,2011 Q4 (October to December),Thousands,Buses and coaches,[low],1.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.8,[low],[low]
England,Quarterly,2012 Q1 (January to March),Thousands,Buses and coaches,[low],2.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.3,[low],[low]
England,Quarterly,2012 Q2 (April to June),Thousands,Buses and coaches,[low],2.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.9,[low],[low]
England,Quarterly,2012 Q3 (July to September),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2012 Q4 (October to December),Thousands,Buses and coaches,[low],1.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.5,[low],[low]
England,Quarterly,2013 Q1 (January to March),Thousands,Buses and coaches,[low],2.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.1,[low],[low]
England,Quarterly,2013 Q2 (April to June),Thousands,Buses and coaches,[low],1.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2013 Q3 (July to September),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2013 Q4 (October to December),Thousands,Buses and coaches,[low],1.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.7,[low],[low]
England,Quarterly,2014 Q1 (January to March),Thousands,Buses and coaches,[low],1.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.8,[low],[low]
England,Quarterly,2014 Q2 (April to June),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.0,[low],[low]
England,Quarterly,2014 Q3 (July to September),Thousands,Buses and coaches,[low],1.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.6,[low],[low]
England,Quarterly,2014 Q4 (October to December),Thousands,Buses and coaches,[low],1.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.7,[low],[low]
England,Quarterly,2015 Q1 (January to March),Thousands,Buses and coaches,[low],2.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.0,[low],[low]
England,Quarterly,2015 Q2 (April to June),Thousands,Buses and coaches,[low],2.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.2,[low],[low]
England,Quarterly,2015 Q3 (July to September),Thousands,Buses and coaches,[low],2.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.2,[low],[low]
England,Quarterly,2015 Q4 (October to December),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2016 Q1 (January to March),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2016 Q2 (April to June),Thousands,Buses and coaches,[low],2.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.3,[low],[low]
England,Quarterly,2016 Q3 (July to September),Thousands,Buses and coaches,[low],2.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.4,[low],[low]
England,Quarterly,2016 Q4 (October to December),Thousands,Buses and coaches,[low],2.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.1,[low],[low]
England,Quarterly,2017 Q1 (January to March),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2017 Q2 (April to June),Thousands,Buses and coaches,[low],2.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.0,[low],[low]
England,Quarterly,2017 Q3 (July to September),Thousands,Buses and coaches,[low],1.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.0,[low],[low]
England,Quarterly,2017 Q4 (October to December),Thousands,Buses and coaches,[low],1.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.7,[low],[low]
England,Quarterly,2018 Q1 (January to March),Thousands,Buses and coaches,[low],1.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.8,[low],[low]
England,Quarterly,2018 Q2 (April to June),Thousands,Buses and coaches,[low],1.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2018 Q3 (July to September),Thousands,Buses and coaches,[low],1.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.7,[low],[low]
England,Quarterly,2018 Q4 (October to December),Thousands,Buses and coaches,[low],1.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.6,[low],[low]
England,Quarterly,2019 Q1 (January to March),Thousands,Buses and coaches,[low],1.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.1,[low],[low]
England,Quarterly,2019 Q2 (April to June),Thousands,Buses and coaches,[low],1.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.5,[low],[low]
England,Quarterly,2019 Q3 (July to September),Thousands,Buses and coaches,[low],1.4,[low],[low],[low],[low],0.1,[low],[low],[low],[low],1.5,0.1,0.1
England,Quarterly,2019 Q4 (October to December),Thousands,Buses and coaches,[low],1.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.9,[low],[low]
England,Quarterly,2020 Q1 (January to March),Thousands,Buses and coaches,[low],1.2,[low],[low],[low],[low],0.2,[low],[low],0.1,[low],1.5,0.2,0.2
England,Quarterly,2020 Q2 (April to June),Thousands,Buses and coaches,[low],0.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.3,[low],[low]
England,Quarterly,2020 Q3 (July to September),Thousands,Buses and coaches,[low],1.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.4,[low],[low]
England,Quarterly,2020 Q4 (October to December),Thousands,Buses and coaches,[low],1.1,[low],[low],[low],[low],0.1,[low],[low],[low],[low],1.2,0.1,0.1
England,Quarterly,2021 Q1 (January to March),Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],0.1,[low],[low],[low],[low],0.7,0.1,0.1
England,Quarterly,2021 Q2 (April to June),Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],0.1,[low],[low],[low],[low],1.0,0.1,0.1
England,Quarterly,2021 Q3 (July to September),Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],0.1,[low],[low],[low],[low],0.9,0.1,0.1
England,Quarterly,2021 Q4 (October to December),Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],0.2,[low],[low],[low],[low],0.8,0.2,0.2
England,Quarterly,2022 Q1 (January to March),Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],0.1,[low],[low],[low],[low],0.9,0.1,0.1
England,Quarterly,2022 Q2 (April to June),Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.1,[low],[low]
England,Quarterly,2022 Q3 (July to September),Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],0.1,[low],[low],[low],[low],0.8,0.1,0.1
England,Monthly,January 2001,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,February 2001,Thousands,Buses and coaches,[low],0.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.5,[low],[low]
England,Monthly,March 2001,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.1,[low],[low]
England,Monthly,April 2001,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,May 2001,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,June 2001,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.0,[low],[low]
England,Monthly,July 2001,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,August 2001,Thousands,Buses and coaches,[low],0.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.5,[low],[low]
England,Monthly,September 2001,Thousands,Buses and coaches,[low],1.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.2,[low],[low]
England,Monthly,October 2001,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,November 2001,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,December 2001,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,January 2002,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,February 2002,Thousands,Buses and coaches,[low],0.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,March 2002,Thousands,Buses and coaches,[low],1.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.2,[low],[low]
England,Monthly,April 2002,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.0,[low],[low]
England,Monthly,May 2002,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.0,[low],[low]
England,Monthly,June 2002,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.0,[low],[low]
England,Monthly,July 2002,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.0,[low],[low]
England,Monthly,August 2002,Thousands,Buses and coaches,[low],0.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,September 2002,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.1,[low],[low]
England,Monthly,October 2002,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,November 2002,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,December 2002,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,January 2003,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,February 2003,Thousands,Buses and coaches,[low],0.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,March 2003,Thousands,Buses and coaches,[low],1.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.6,[low],[low]
England,Monthly,April 2003,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.0,[low],[low]
England,Monthly,May 2003,Thousands,Buses and coaches,[low],1.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.1,[low],[low]
England,Monthly,June 2003,Thousands,Buses and coaches,[low],1.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.1,[low],[low]
England,Monthly,July 2003,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,August 2003,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,September 2003,Thousands,Buses and coaches,[low],1.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.4,[low],[low]
England,Monthly,October 2003,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,November 2003,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,December 2003,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,January 2004,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,February 2004,Thousands,Buses and coaches,[low],0.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.5,[low],[low]
England,Monthly,March 2004,Thousands,Buses and coaches,[low],1.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.5,[low],[low]
England,Monthly,April 2004,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,May 2004,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,June 2004,Thousands,Buses and coaches,[low],1.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.3,[low],[low]
England,Monthly,July 2004,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,August 2004,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,September 2004,Thousands,Buses and coaches,[low],1.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.5,[low],[low]
England,Monthly,October 2004,Thousands,Buses and coaches,0.1,0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,November 2004,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,December 2004,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,January 2005,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,February 2005,Thousands,Buses and coaches,[low],0.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,March 2005,Thousands,Buses and coaches,[low],1.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.3,[low],[low]
England,Monthly,April 2005,Thousands,Buses and coaches,[low],1.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.0,[low],[low]
England,Monthly,May 2005,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,June 2005,Thousands,Buses and coaches,[low],1.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.2,[low],[low]
England,Monthly,July 2005,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,August 2005,Thousands,Buses and coaches,[low],0.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.5,[low],[low]
England,Monthly,September 2005,Thousands,Buses and coaches,[low],1.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.4,[low],[low]
England,Monthly,October 2005,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,November 2005,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,December 2005,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,January 2006,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,February 2006,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.6,[low],[low]
England,Monthly,March 2006,Thousands,Buses and coaches,[low],1.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.8,[low],[low]
England,Monthly,April 2006,Thousands,Buses and coaches,[low],1.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.2,[low],[low]
England,Monthly,May 2006,Thousands,Buses and coaches,[low],0.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.9,[low],[low]
England,Monthly,June 2006,Thousands,Buses and coaches,[low],0.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.8,[low],[low]
England,Monthly,July 2006,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,August 2006,Thousands,Buses and coaches,[low],0.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.4,[low],[low]
England,Monthly,September 2006,Thousands,Buses and coaches,[low],1.2,[low],[low],[low],[low],[low],[low],[low],[low],[low],1.2,[low],[low]
England,Monthly,October 2006,Thousands,Buses and coaches,[low],0.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
England,Monthly,November 2006,Thousands,Buses and coaches,[low],0.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],0.7,[low],[low]
